"Species","Results"
"Accipiter albogularis","0"
"Accipiter badius","2"
"Accipiter bicolor","0"
"Accipiter brachyurus","0"
"Accipiter brevipes","2"
"Accipiter butleri","0"
"Accipiter castanilius","0"
"Accipiter cirrocephalus","0"
"Accipiter collaris","0"
"Accipiter cooperii","3"
"Accipiter erythrauchen","0"
"Accipiter erythropus","0"
"Accipiter fasciatus","0"
"Accipiter francesiae","0"
"Accipiter gentilis","12"
"Accipiter griseiceps","0"
"Accipiter gularis","0"
"Accipiter gundlachi","0"
"Accipiter haplochrous","0"
"Accipiter henicogrammus","0"
"Accipiter henstii","0"
"Accipiter hiogaster","0"
"Accipiter imitator","0"
"Accipiter luteoschistaceus","0"
"Accipiter madagascariensis","0"
"Accipiter melanochlamys","0"
"Accipiter melanoleucus","0"
"Accipiter meyerianus","0"
"Accipiter minullus","0"
"Accipiter nanus","0"
"Accipiter nisus","3"
"Accipiter novaehollandiae","0"
"Accipiter ovampensis","0"
"Accipiter poliocephalus","0"
"Accipiter poliogaster","0"
"Accipiter princeps","0"
"Accipiter rhodogaster","0"
"Accipiter rufitorques","0"
"Accipiter rufiventris","0"
"Accipiter soloensis","1"
"Accipiter striatus","2"
"Accipiter superciliosus","0"
"Accipiter sylvestris","0"
"Accipiter tachiro","1"
"Accipiter toussenelii","0"
"Accipiter trinotatus","0"
"Accipiter trivirgatus","0"
"Accipiter virgatus","0"
"Aegypius monachus","4"
"Aquila adalberti","1"
"Aquila africana","0"
"Aquila audax","0"
"Aquila chrysaetos","7"
"Aquila fasciata","4"
"Aquila gurneyi","0"
"Aquila heliaca","3"
"Aquila nipalensis","4"
"Aquila rapax","1"
"Aquila spilogaster","0"
"Aquila verreauxii","3"
"Aviceda cuculoides","0"
"Aviceda jerdoni","0"
"Aviceda leuphotes","0"
"Aviceda madagascariensis","0"
"Aviceda subcristata","0"
"Busarellus nigricollis","0"
"Butastur indicus","1"
"Butastur liventer","0"
"Butastur rufipennis","0"
"Butastur teesa","0"
"Buteo albigula","1"
"Buteo albonotatus","0"
"Buteo augur","0"
"Buteo auguralis","0"
"Buteo brachypterus","0"
"Buteo brachyurus","0"
"Buteo buteo","21"
"Buteo galapagoensis","0"
"Buteo hemilasius","0"
"Buteo jamaicensis","4"
"Buteo japonicus","0"
"Buteo lagopus","4"
"Buteo lineatus","0"
"Buteo nitidus","0"
"Buteo oreophilus","0"
"Buteo plagiatus","0"
"Buteo platypterus","0"
"Buteo refectus","0"
"Buteo regalis","6"
"Buteo ridgwayi","0"
"Buteo rufinus","1"
"Buteo rufofuscus","0"
"Buteo socotraensis","0"
"Buteo solitarius","0"
"Buteo swainsoni","5"
"Buteo trizonatus","0"
"Buteo ventralis","0"
"Buteogallus aequinoctialis","0"
"Buteogallus anthracinus","0"
"Buteogallus coronatus","1"
